Accession_number	Protein_name	GO_ID
P37173	TGF-beta receptor type-2	{'GO:0035162', 'GO:0070021', 'GO:2000736', 'GO:0048844', 'GO:0001570', 'GO:0001568', 'GO:0050431', 'GO:0034714', 'GO:0009897', 'GO:0003149', 'GO:0004672', 'GO:0001947', 'GO:0051094', 'GO:0048514', 'GO:1905317', 'GO:0048513', 'GO:0007178', 'GO:0008284', 'GO:0048179', 'GO:2000379', 'GO:0003148', 'GO:0051216', 'GO:0032924', 'GO:0005524', 'GO:1905007', 'GO:0043011', 'GO:0051138', 'GO:0035909', 'GO:0060412', 'GO:0010718', 'GO:0038023', 'GO:0002651', 'GO:0003214', 'GO:0062009', 'GO:0030154', 'GO:0001569', 'GO:0007507', 'GO:0002053', 'GO:0060021', 'GO:0003274', 'GO:0071363', 'GO:0051239', 'GO:0009410', 'GO:0005886', 'GO:2000563', 'GO:0060090', 'GO:0005829', 'GO:0002666', 'GO:0003186', 'GO:0046872', 'GO:0048185', 'GO:0045121', 'GO:0016361', 'GO:0005515', 'GO:0033993', 'GO:0005026', 'GO:0046332', 'GO:0007179', 'GO:0016020', 'GO:0007399', 'GO:0006915', 'GO:0001837', 'GO:0060391', 'GO:0019209', 'GO:0004674', 'GO:1990428', 'GO:0070723', 'GO:0043235', 'GO:0005024', 'GO:0005901', 'GO:0009986', 'GO:0004675', 'GO:0034713', 'GO:0007420', 'GO:0002663', 'GO:0048701', 'GO:0003180', 'GO:0003181', 'GO:0005576', 'GO:0042127', 'GO:0005539', 'GO:0003151'}
P40126	L-dopachrome tautomerase	{'GO:0033162', 'GO:0005507', 'GO:0005886', 'GO:0160108', 'GO:0002052', 'GO:0048069', 'GO:0008544', 'GO:0005829', 'GO:0005737', 'GO:0005515', 'GO:0021847', 'GO:0006583', 'GO:0016020', 'GO:0042470', 'GO:0004167', 'GO:0042438', 'GO:0048066', 'GO:0016491', 'GO:0009637'}
P41182	B-cell lymphoma 6 protein	{'GO:0005654', 'GO:0051251', 'GO:0045892', 'GO:0001227', 'GO:0043565', 'GO:0045580', 'GO:0045597', 'GO:0001222', 'GO:0002903', 'GO:0042981', 'GO:0000978', 'GO:0002634', 'GO:0002682', 'GO:0045591', 'GO:0045595', 'GO:0001817', 'GO:0042802', 'GO:1903037', 'GO:0005515', 'GO:0031490', 'GO:0050727', 'GO:0030308', 'GO:0001161', 'GO:0140297', 'GO:0005657', 'GO:0050776', 'GO:0042127', 'GO:1990837', 'GO:0043065', 'GO:0000977', 'GO:0000122', 'GO:0003682', 'GO:0003700', 'GO:0005634', 'GO:0042092', 'GO:0006974', 'GO:0042382', 'GO:1903464'}
P43004	Excitatory amino acid transporter 2	{'GO:0006836', 'GO:0005886', 'GO:0070779', 'GO:0098978', 'GO:0015501', 'GO:0008509', 'GO:0015804', 'GO:0015813', 'GO:0005314', 'GO:0009986', 'GO:0006750', 'GO:0031982', 'GO:0015175', 'GO:0090461', 'GO:0140009', 'GO:0007268', 'GO:0006865', 'GO:0030424', 'GO:0070778', 'GO:0033229', 'GO:0044297', 'GO:0045121', 'GO:0045202', 'GO:0005515', 'GO:1903712', 'GO:0098810', 'GO:0044306', 'GO:0097449', 'GO:0071314', 'GO:0005313', 'GO:0016020', 'GO:0015293', 'GO:0098656', 'GO:0098657', 'GO:0042734', 'GO:0070633', 'GO:0098712', 'GO:0150104', 'GO:0070207', 'GO:0098796', 'GO:0030673'}
P43489	Tumor necrosis factor receptor superfamily member 4	{'GO:0000122', 'GO:0005515', 'GO:0002639', 'GO:0033209', 'GO:0006955', 'GO:0042098', 'GO:0009897', 'GO:0005886', 'GO:0030890', 'GO:0006954', 'GO:0016020', 'GO:0005031', 'GO:0009986'}
P43694	Transcription factor GATA-4	{'GO:0048617', 'GO:0045893', 'GO:0045787', 'GO:0055007', 'GO:0001223', 'GO:0032526', 'GO:0036302', 'GO:0016604', 'GO:0001216', 'GO:0003162', 'GO:0007267', 'GO:0001947', 'GO:0000987', 'GO:2001234', 'GO:0005634', 'GO:0045766', 'GO:0086004', 'GO:0008270', 'GO:0009612', 'GO:0000981', 'GO:1902176', 'GO:0043066', 'GO:0070410', 'GO:1990837', 'GO:0007492', 'GO:0000122', 'GO:0007507', 'GO:0006355', 'GO:0030154', 'GO:0003682', 'GO:0003289', 'GO:0061629', 'GO:0009410', 'GO:0043565', 'GO:0003281', 'GO:1902895', 'GO:0051525', 'GO:0010507', 'GO:0000978', 'GO:0003677', 'GO:0003215', 'GO:0009653', 'GO:0010628', 'GO:0003197', 'GO:0010575', 'GO:0030513', 'GO:0005515', 'GO:0006357', 'GO:0060290', 'GO:0003290', 'GO:0090575', 'GO:0045165', 'GO:0003279', 'GO:0003208', 'GO:0061049', 'GO:0000977', 'GO:0008584', 'GO:0003700', 'GO:0005654', 'GO:0042060', 'GO:0019901', 'GO:0071333', 'GO:0033189', 'GO:0010667', 'GO:0061026', 'GO:0000785', 'GO:0045944', 'GO:0010629', 'GO:0001228', 'GO:0003190', 'GO:0140297', 'GO:0060413', 'GO:0003180', 'GO:1905204', 'GO:0009888', 'GO:0035054', 'GO:0000976', 'GO:0003007', 'GO:0060575'}
P47974	mRNA decay activator protein ZFP36L2	{'GO:0000165', 'GO:0160134', 'GO:0070371', 'GO:0003723', 'GO:0030097', 'GO:0035925', 'GO:0006402', 'GO:2000737', 'GO:0097011', 'GO:0005829', 'GO:0061158', 'GO:0033077', 'GO:0000289', 'GO:0003729', 'GO:0046872', 'GO:0048103', 'GO:0005737', 'GO:0005515', 'GO:0009611', 'GO:1900153', 'GO:0071356', 'GO:0045577', 'GO:0071560', 'GO:0071385', 'GO:0044344', 'GO:0071364', 'GO:0035019', 'GO:0060216', 'GO:1901991', 'GO:0017148', 'GO:0005634', 'GO:0045599', 'GO:0000900', 'GO:0043488'}
P48060	Glioma pathogenesis-related protein 1	{'GO:0035577', 'GO:0005886', 'GO:0016020', 'GO:0005576', 'GO:0005515', 'GO:0060090'}
P48307	Tissue factor pathway inhibitor 2	{'GO:0004867', 'GO:0005201', 'GO:0031012', 'GO:0005576', 'GO:0030414'}
P48742	LIM/homeobox protein Lhx1	{'GO:0001702', 'GO:0045893', 'GO:0090190', 'GO:0021549', 'GO:0032991', 'GO:0001706', 'GO:0060067', 'GO:0072077', 'GO:0009880', 'GO:0001655', 'GO:0097379', 'GO:0072050', 'GO:0001658', 'GO:0007267', 'GO:0000987', 'GO:0060041', 'GO:0060322', 'GO:0001705', 'GO:2000744', 'GO:0005634', 'GO:0048703', 'GO:0060068', 'GO:0160108', 'GO:0008270', 'GO:0040019', 'GO:0007389', 'GO:0060059', 'GO:0001657', 'GO:0000981', 'GO:0072049', 'GO:0009887', 'GO:0060066', 'GO:2000768', 'GO:0021537', 'GO:0072284', 'GO:0009953', 'GO:0072178', 'GO:0001822', 'GO:1990837', 'GO:0097477', 'GO:0006355', 'GO:0060429', 'GO:0008045', 'GO:0061205', 'GO:0043565', 'GO:0001656', 'GO:0009952', 'GO:0001823', 'GO:0060065', 'GO:0003677', 'GO:0021937', 'GO:2000543', 'GO:0009653', 'GO:0035847', 'GO:0005515', 'GO:0006357', 'GO:0005667', 'GO:0021527', 'GO:0035849', 'GO:0007399', 'GO:0021517', 'GO:0035502', 'GO:0021702', 'GO:0000977', 'GO:0003700', 'GO:0072278', 'GO:0009948', 'GO:0072283', 'GO:0021510', 'GO:0048793', 'GO:0045892', 'GO:0072224', 'GO:0090009', 'GO:0048731', 'GO:0010468', 'GO:0035846', 'GO:0000785', 'GO:0021871', 'GO:0009791', 'GO:0030182', 'GO:0072164', 'GO:0006366', 'GO:0044344', 'GO:0072177', 'GO:0048646', 'GO:0010842'}
P48745	CCN family member 3	{'GO:0033627', 'GO:0045747', 'GO:0160108', 'GO:0044342', 'GO:0050793', 'GO:0045597', 'GO:0060392', 'GO:0035767', 'GO:0005829', 'GO:0071603', 'GO:0007165', 'GO:0005921', 'GO:1904057', 'GO:0005737', 'GO:0005179', 'GO:0030199', 'GO:0005515', 'GO:1901223', 'GO:0007155', 'GO:0050728', 'GO:0045778', 'GO:0010761', 'GO:0030308', 'GO:0090027', 'GO:0031012', 'GO:1990523', 'GO:0002062', 'GO:0008201', 'GO:0007179', 'GO:0010832', 'GO:0005576', 'GO:0061484', 'GO:0014909', 'GO:0016055', 'GO:0140149', 'GO:0001525', 'GO:0060326', 'GO:0048659', 'GO:0005112', 'GO:0005178', 'GO:0046676', 'GO:1902731'}
P48960	Adhesion G protein-coupled receptor E5	{'GO:0004930', 'GO:0030667', 'GO:0005886', 'GO:0006955', 'GO:0007166', 'GO:0004888', 'GO:0005509', 'GO:0007186', 'GO:0006954', 'GO:0007267', 'GO:0016020', 'GO:0002376', 'GO:0005576', 'GO:0005925', 'GO:0070062', 'GO:0005515', 'GO:0007155'}
P49619	Diacylglycerol kinase gamma	{'GO:0005829', 'GO:0016301', 'GO:0050773', 'GO:0007200', 'GO:0004143', 'GO:0008289', 'GO:0006654', 'GO:0030168', 'GO:0007165', 'GO:0005509', 'GO:0035556', 'GO:0046486', 'GO:0046834', 'GO:0005886', 'GO:0005856', 'GO:0016020', 'GO:0160195', 'GO:0046339'}
P49639	Homeobox protein Hox-A1	{'GO:0021599', 'GO:0043565', 'GO:0000978', 'GO:0003677', 'GO:0009653', 'GO:0048844', 'GO:0000785', 'GO:0060840', 'GO:0000981', 'GO:0042802', 'GO:0042473', 'GO:0045944', 'GO:0005515', 'GO:0006357', 'GO:0001228', 'GO:0050890', 'GO:0007605', 'GO:0090103', 'GO:0007634', 'GO:1990837', 'GO:0048839', 'GO:0006355', 'GO:0060876', 'GO:0050795', 'GO:0003700', 'GO:0005634', 'GO:0090102', 'GO:0050905', 'GO:0048702'}
P49711	Transcriptional repressor CTCF	{'GO:0000775', 'GO:0071459', 'GO:0140587', 'GO:0045893', 'GO:0003723', 'GO:0001227', 'GO:0043565', 'GO:0045892', 'GO:0008270', 'GO:0008285', 'GO:1990841', 'GO:0000978', 'GO:0003677', 'GO:0010628', 'GO:0043035', 'GO:0005515', 'GO:0006357', 'GO:0010629', 'GO:0045944', 'GO:0071514', 'GO:0005730', 'GO:0001221', 'GO:0000987', 'GO:0140588', 'GO:0005694', 'GO:1990837', 'GO:0000122', 'GO:0070602', 'GO:0003682', 'GO:0003700', 'GO:0005634', 'GO:0000976', 'GO:0000793', 'GO:0005654', 'GO:0040029'}
P49746	Thrombospondin-3	{'GO:0005201', 'GO:1990341', 'GO:0031012', 'GO:0005509', 'GO:0008201', 'GO:0007160', 'GO:0005576', 'GO:0005515', 'GO:0048471', 'GO:0007155'}
P49747	Cartilage oligomeric matrix protein	{'GO:0032991', 'GO:0035989', 'GO:0051260', 'GO:0060173', 'GO:0009887', 'GO:0030199', 'GO:0005515', 'GO:0007155', 'GO:0005518', 'GO:1990341', 'GO:0043066', 'GO:0031012', 'GO:0036122', 'GO:0005509', 'GO:0043395', 'GO:0001501', 'GO:0008201', 'GO:0005576', 'GO:0070062', 'GO:0002020', 'GO:0140149', 'GO:0005201', 'GO:0005178', 'GO:1990079', 'GO:0043394'}
P49767	Vascular endothelial growth factor C	{'GO:0038084', 'GO:0008083', 'GO:0009410', 'GO:0031093', 'GO:0001666', 'GO:0050930', 'GO:0045668', 'GO:0048010', 'GO:0007165', 'GO:0050714', 'GO:0002040', 'GO:0005515', 'GO:0006929', 'GO:0030335', 'GO:0043536', 'GO:0016020', 'GO:0005576', 'GO:0060754', 'GO:0042056', 'GO:1902462', 'GO:0001525', 'GO:0030947', 'GO:0050918', 'GO:0048018', 'GO:0008284', 'GO:0045776', 'GO:0050679', 'GO:0043185', 'GO:0045766', 'GO:0036454'}
P49841	Glycogen synthase kinase-3 beta	{'GO:0031625', 'GO:0042752', 'GO:0030426', 'GO:0045879', 'GO:0097192', 'GO:0035556', 'GO:0050321', 'GO:0045597', 'GO:0031663', 'GO:0090090', 'GO:0106310', 'GO:0060070', 'GO:0098978', 'GO:0014069', 'GO:0150101', 'GO:1900034', 'GO:0030336', 'GO:1903829', 'GO:0030877', 'GO:0032007', 'GO:0005977', 'GO:0043525', 'GO:0004672', 'GO:0008286', 'GO:1902042', 'GO:0097110', 'GO:0036016', 'GO:1990904', 'GO:0005634', 'GO:0032880', 'GO:1904780', 'GO:0016301', 'GO:0030010', 'GO:0005524', 'GO:0032436', 'GO:0097191', 'GO:0106027', 'GO:0070885', 'GO:0030011', 'GO:0044297', 'GO:0043066', 'GO:0010954', 'GO:0030425', 'GO:0046777', 'GO:0070059', 'GO:1903940', 'GO:2000740', 'GO:0002020', 'GO:0048471', 'GO:0016055', 'GO:1990909', 'GO:2000466', 'GO:0030154', 'GO:0043198', 'GO:0031334', 'GO:0042981', 'GO:0061629', 'GO:0046825', 'GO:0046827', 'GO:0005886', 'GO:0034976', 'GO:0010508', 'GO:1903566', 'GO:1904646', 'GO:0006983', 'GO:0010719', 'GO:0010975', 'GO:0043491', 'GO:0030516', 'GO:0010628', 'GO:0005829', 'GO:1900026', 'GO:0098793', 'GO:0018105', 'GO:0031398', 'GO:0008013', 'GO:0003170', 'GO:0005737', 'GO:0099171', 'GO:0005515', 'GO:0007127', 'GO:0072687', 'GO:0006468', 'GO:0043161', 'GO:1904781', 'GO:0070507', 'GO:0045724', 'GO:0001837', 'GO:0034452', 'GO:0034236', 'GO:1900271', 'GO:0005813', 'GO:0021766', 'GO:0004674', 'GO:0032481', 'GO:0005654', 'GO:0160213', 'GO:0019901', 'GO:0009968', 'GO:2000077', 'GO:0060079', 'GO:0051059', 'GO:0045668', 'GO:0071109', 'GO:0045732', 'GO:0030424', 'GO:0032886', 'GO:0071300', 'GO:1900181', 'GO:0010629', 'GO:0031333', 'GO:0007005', 'GO:1901030', 'GO:0002039', 'GO:0007623', 'GO:0050770', 'GO:0032374', 'GO:0070840', 'GO:0045719', 'GO:0071385', 'GO:1904339', 'GO:2000727', 'GO:0001954', 'GO:0048814', 'GO:0031175', 'GO:0032092', 'GO:0019082', 'GO:0005788', 'GO:0048156', 'GO:0043025'}
P49910	Zinc finger protein 165	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0005737', 'GO:0005515', 'GO:0006357'}
P51504	Zinc finger protein 80	{'GO:0000977', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
P51508	Zinc finger protein 81	{'GO:0000978', 'GO:0003677', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
P51522	Zinc finger protein 83	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
P51523	Zinc finger protein 84	{'GO:0003677', 'GO:0006355', 'GO:0005634', 'GO:0008270', 'GO:0005515', 'GO:0005654'}
P51786	Zinc finger protein 157	{'GO:0006355', 'GO:0005634'}
P51814	Zinc finger protein 41	{'GO:0006355', 'GO:0005515', 'GO:0031981', 'GO:0005634'}
P51815	Zinc finger protein 75D	{'GO:0000978', 'GO:0006355', 'GO:0008270', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
P51864	Protein CRIPTO3	{'GO:0038092', 'GO:0008083', 'GO:0001570', 'GO:0007368', 'GO:0060976', 'GO:0005886', 'GO:0007165', 'GO:0038100', 'GO:0005576', 'GO:0070697', 'GO:0009986'}
P52429	Diacylglycerol kinase epsilon	{'GO:0005829', 'GO:0016301', 'GO:0006661', 'GO:0007200', 'GO:0004143', 'GO:0006654', 'GO:0030168', 'GO:0035556', 'GO:0007165', 'GO:0046486', 'GO:0046834', 'GO:0005886', 'GO:0046474', 'GO:0016020', 'GO:0098978', 'GO:0005737', 'GO:0050804', 'GO:0046339'}
P52736	Zinc finger protein 133	{'GO:0000977', 'GO:0000122', 'GO:0006355', 'GO:0045892', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
P52737	Zinc finger protein 136	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
P52739	Zinc finger and BTB domain-containing protein 35	{'GO:0000978', 'GO:0001228', 'GO:0000122', 'GO:0002682', 'GO:0045944', 'GO:0001227', 'GO:0043565', 'GO:0030183', 'GO:0005634', 'GO:0001817', 'GO:0045111', 'GO:0005515', 'GO:0005654', 'GO:0030217'}
P52740	Zinc finger protein 132	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
P52741	Zinc finger protein 134	{'GO:0000978', 'GO:0000122', 'GO:0002682', 'GO:0001227', 'GO:0005634', 'GO:0001817', 'GO:0005515', 'GO:0005654'}
P52742	Zinc finger protein 135	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005737', 'GO:0005515', 'GO:0006357'}
P52743	Putative zinc finger protein 137	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
P52744	Zinc finger protein 138	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
P52824	Diacylglycerol kinase theta	{'GO:0016301', 'GO:0047649', 'GO:0019900', 'GO:0035556', 'GO:1900242', 'GO:0005886', 'GO:0098978', 'GO:0090037', 'GO:0010628', 'GO:1903413', 'GO:0098793', 'GO:0005829', 'GO:0007189', 'GO:0004143', 'GO:0046486', 'GO:0030168', 'GO:0012506', 'GO:0007165', 'GO:0005737', 'GO:0045202', 'GO:0005515', 'GO:0006357', 'GO:0010629', 'GO:0004697', 'GO:2000064', 'GO:0046834', 'GO:0098794', 'GO:0005856', 'GO:0030297', 'GO:0140297', 'GO:0006111', 'GO:0007186', 'GO:0070493', 'GO:0005730', 'GO:0016020', 'GO:0051591', 'GO:0016363', 'GO:0007173', 'GO:0046339', 'GO:0090181', 'GO:0016607', 'GO:0007200', 'GO:0006654', 'GO:0030971', 'GO:2000182', 'GO:0043274', 'GO:0005634', 'GO:0005768', 'GO:1903432'}
P53041	Serine/threonine-protein phosphatase 5	{'GO:0051879', 'GO:0000165', 'GO:0004721', 'GO:0043204', 'GO:0101031', 'GO:0004722', 'GO:0030544', 'GO:0070301', 'GO:0005886', 'GO:0003723', 'GO:0032991', 'GO:0008017', 'GO:0005524', 'GO:0001965', 'GO:0005829', 'GO:0010288', 'GO:0031072', 'GO:0043123', 'GO:0042802', 'GO:0016791', 'GO:0005737', 'GO:1990635', 'GO:0044877', 'GO:0005515', 'GO:0043066', 'GO:0043409', 'GO:2000324', 'GO:0006351', 'GO:0070262', 'GO:0000278', 'GO:0030291', 'GO:0071276', 'GO:0043531', 'GO:0016787', 'GO:0006302', 'GO:1904550', 'GO:0031435', 'GO:0005634', 'GO:0005654', 'GO:0048156', 'GO:0043025'}
P54760	Ephrin type-B receptor 4	{'GO:0005829', 'GO:0001525', 'GO:0043235', 'GO:0005003', 'GO:0007155', 'GO:0005886', 'GO:0004714', 'GO:0002042', 'GO:0004672', 'GO:0003007', 'GO:0016020', 'GO:0007169', 'GO:0048013', 'GO:0005524', 'GO:0005576', 'GO:0005515', 'GO:0070062', 'GO:0004713'}
P54762	Ephrin type-B receptor 1	{'GO:0030010', 'GO:0016477', 'GO:0050965', 'GO:0005886', 'GO:0004714', 'GO:0046328', 'GO:0022008', 'GO:0160108', 'GO:0098978', 'GO:0007169', 'GO:0048013', 'GO:0005524', 'GO:0048731', 'GO:0060997', 'GO:0032433', 'GO:0005829', 'GO:0051965', 'GO:0030424', 'GO:1902723', 'GO:0045121', 'GO:0021952', 'GO:0005737', 'GO:0044877', 'GO:0005515', 'GO:0050804', 'GO:0008046', 'GO:1902725', 'GO:0030425', 'GO:0046777', 'GO:0060996', 'GO:0004672', 'GO:0016020', 'GO:0014719', 'GO:0005576', 'GO:0031901', 'GO:0070062', 'GO:0001525', 'GO:0060326', 'GO:0005003', 'GO:0021934', 'GO:0005005', 'GO:0031589', 'GO:0007411', 'GO:0070372', 'GO:0031290', 'GO:0061351', 'GO:0004713'}
P54764	Ephrin type-A receptor 4	{'GO:0005741', 'GO:0098978', 'GO:0098839', 'GO:0007169', 'GO:0048013', 'GO:0014069', 'GO:0097485', 'GO:1902993', 'GO:0008347', 'GO:0030336', 'GO:0034332', 'GO:0030335', 'GO:1905806', 'GO:0004672', 'GO:0005004', 'GO:1902004', 'GO:0005003', 'GO:0030175', 'GO:0008284', 'GO:0007411', 'GO:0090102', 'GO:0061001', 'GO:0004713', 'GO:0016301', 'GO:0043197', 'GO:0004714', 'GO:1900038', 'GO:0005524', 'GO:0050821', 'GO:0048681', 'GO:0044297', 'GO:0043087', 'GO:0005912', 'GO:0030425', 'GO:0106030', 'GO:0042734', 'GO:0043198', 'GO:0097155', 'GO:0045211', 'GO:0017148', 'GO:0097156', 'GO:0008045', 'GO:0021957', 'GO:0043204', 'GO:0010977', 'GO:0005886', 'GO:1904646', 'GO:0010719', 'GO:0048710', 'GO:0043679', 'GO:0046330', 'GO:0005737', 'GO:0001540', 'GO:0005515', 'GO:0016020', 'GO:0031901', 'GO:1905244', 'GO:1902533', 'GO:0007162', 'GO:0050775', 'GO:1990782', 'GO:0097161', 'GO:0045785', 'GO:0098883', 'GO:0005769', 'GO:1904999', 'GO:0009986', 'GO:0030424', 'GO:0098685', 'GO:0042802', 'GO:1900272', 'GO:0050770', 'GO:0031594', 'GO:0042731', 'GO:0005005', 'GO:0046875', 'GO:0070373', 'GO:0044295'}
P54826	Growth arrest-specific protein 1	{'GO:0045930', 'GO:0045880', 'GO:0043066', 'GO:0140597', 'GO:0008589', 'GO:0045165', 'GO:0051726', 'GO:0030308', 'GO:0005886', 'GO:0035924', 'GO:0048589', 'GO:0016020', 'GO:0010955', 'GO:0005515', 'GO:0042476', 'GO:0008142', 'GO:0060628', 'GO:0042981'}
P55001	Microfibrillar-associated protein 2	{'GO:0005201', 'GO:0001527', 'GO:0031012', 'GO:0048048', 'GO:0120162', 'GO:0048050', 'GO:0005576', 'GO:0070051', 'GO:0005515', 'GO:0001968', 'GO:0140149'}
P55259	Pancreatic secretory granule membrane major glycoprotein GP2	{'GO:1990266', 'GO:0016324', 'GO:0009897', 'GO:0005886', 'GO:0042589', 'GO:0045121', 'GO:0005576', 'GO:0070062', 'GO:0005768', 'GO:0005515', 'GO:0002412', 'GO:0003823', 'GO:0009986'}
P55285	Cadherin-6	{'GO:0016477', 'GO:0044331', 'GO:0005886', 'GO:0000902', 'GO:0098609', 'GO:0098978', 'GO:0008013', 'GO:0007043', 'GO:0045202', 'GO:0007156', 'GO:0034332', 'GO:0007155', 'GO:0030054', 'GO:0005912', 'GO:0005509', 'GO:0016339', 'GO:0045296', 'GO:0016020', 'GO:0099560', 'GO:0016342'}
P56270	Myc-associated zinc finger protein	{'GO:0000978', 'GO:0010628', 'GO:0000122', 'GO:0045893', 'GO:0003723', 'GO:0008284', 'GO:0030335', 'GO:0051897', 'GO:2001234', 'GO:0005634', 'GO:0000981', 'GO:0006367', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:0006369'}
P56915	Homeobox protein goosecoid	{'GO:0042474', 'GO:0001227', 'GO:0000978', 'GO:0003677', 'GO:0000785', 'GO:0061629', 'GO:0000981', 'GO:0006357', 'GO:0007369', 'GO:0005667', 'GO:0009888', 'GO:0014036', 'GO:0016607', 'GO:1990837', 'GO:0000122', 'GO:0006355', 'GO:0048513', 'GO:0005634', 'GO:0005654'}
P58317	Zinc finger protein 121	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
P60508	Syncytin-2	{'GO:0005886', 'GO:0034242', 'GO:0000768', 'GO:0005515', 'GO:0007520'}
P60852	Zona pellucida sperm-binding protein 1	{'GO:0060468', 'GO:0007339', 'GO:0005886', 'GO:0031012', 'GO:0032190', 'GO:0005576', 'GO:0035805', 'GO:0005515', 'GO:0140149', 'GO:0035804'}
P62633	CCHC-type zinc finger nucleic acid binding protein	{'GO:0045893', 'GO:0003723', 'GO:0008270', 'GO:0071919', 'GO:0003727', 'GO:0051880', 'GO:0005829', 'GO:0003729', 'GO:0005737', 'GO:0045944', 'GO:0005515', 'GO:0045182', 'GO:0005783', 'GO:2000767', 'GO:0000122', 'GO:0006355', 'GO:0008284', 'GO:0005634', 'GO:0003676', 'GO:0042632'}
P62684	Endogenous retrovirus group K member 113 Gag polyprotein	{'GO:0005886', 'GO:0005198', 'GO:0008270', 'GO:0003676', 'GO:0016032'}
P63145	Endogenous retrovirus group K member 24 Gag polyprotein	{'GO:0005886', 'GO:0005198', 'GO:0008270', 'GO:0003676', 'GO:0016032'}
P78325	Disintegrin and metalloproteinase domain-containing protein 8	{'GO:0002523', 'GO:0004222', 'GO:0005886', 'GO:0048247', 'GO:0000902', 'GO:0042581', 'GO:0070821', 'GO:0043410', 'GO:0008270', 'GO:0050839', 'GO:2000391', 'GO:0045785', 'GO:0023061', 'GO:0009986', 'GO:0043524', 'GO:2000309', 'GO:0045780', 'GO:0051044', 'GO:0051897', 'GO:0032010', 'GO:0050714', 'GO:0005737', 'GO:0005515', 'GO:0071133', 'GO:0071456', 'GO:0010954', 'GO:0002102', 'GO:0032127', 'GO:0070820', 'GO:0005509', 'GO:2000415', 'GO:0006954', 'GO:2000418', 'GO:0016020', 'GO:0045089', 'GO:0010718', 'GO:0008237', 'GO:0101003', 'GO:0002675', 'GO:0001525', 'GO:0035579', 'GO:0022407', 'GO:0070245', 'GO:0004252', 'GO:0002693', 'GO:0032813', 'GO:0033089', 'GO:0006508', 'GO:0022617', 'GO:0034987', 'GO:0007249'}
P78385	Keratin, type II cuticular Hb3	{'GO:0005829', 'GO:0045109', 'GO:0031424', 'GO:0030280', 'GO:0042633', 'GO:0005576', 'GO:0008544', 'GO:0005515', 'GO:0045095'}
P78413	Iroquois-class homeodomain protein IRX-4	{'GO:0000978', 'GO:0003677', 'GO:0000122', 'GO:0007507', 'GO:0006355', 'GO:0000785', 'GO:0048561', 'GO:0005634', 'GO:0000981', 'GO:0030182', 'GO:0048468', 'GO:0005515', 'GO:0006357'}
P78536	Disintegrin and metalloproteinase domain-containing protein 17	{'GO:0120163', 'GO:0000139', 'GO:0004222', 'GO:0006508', 'GO:0033627', 'GO:0009410', 'GO:0043130', 'GO:0005886', 'GO:0032760', 'GO:0002690', 'GO:0005138', 'GO:0007219', 'GO:0048536', 'GO:0035313', 'GO:0004175', 'GO:0001666', 'GO:0043491', 'GO:0010820', 'GO:0023061', 'GO:1903265', 'GO:0009986', 'GO:0006509', 'GO:0033077', 'GO:0005911', 'GO:0048870', 'GO:0045121', 'GO:0030183', 'GO:0005737', 'GO:0030307', 'GO:0019955', 'GO:0032496', 'GO:0005515', 'GO:0007155', 'GO:0002532', 'GO:0007220', 'GO:0030335', 'GO:0032587', 'GO:0032722', 'GO:0043536', 'GO:0016324', 'GO:0070573', 'GO:0002467', 'GO:0042987', 'GO:0015629', 'GO:1900087', 'GO:0071679', 'GO:1905564', 'GO:0016020', 'GO:0030512', 'GO:0008237', 'GO:0007173', 'GO:0050830', 'GO:0045742', 'GO:0008284', 'GO:0005112', 'GO:0043120', 'GO:0005178', 'GO:0002446', 'GO:0030165', 'GO:0008233', 'GO:0016485', 'GO:0005788', 'GO:0140447', 'GO:0033025', 'GO:0005925', 'GO:0140448', 'GO:0071403'}
P78539	Sushi repeat-containing protein SRPX	{'GO:0005201', 'GO:0031012', 'GO:0016020', 'GO:0005515', 'GO:0001845', 'GO:0140149', 'GO:0009986'}
